system:index,Average_Temp,County,Elevation,Humidity,Land_Cover,Max_Temp,Min_Temp,Month,Precipitation,SubCounty,Vegetation_NDVI,Year,.geo
0_00000000000000000044,24.502918334387886,Siaya,1201.0864409909516,64.24439270123722,30.013801012722208,26.249680535422627,22.63370356039854,1.0,31.594904749280687,Rarieda Sub County,0.6507313477322234,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000070,22.45092291038799,Siaya,1354.955211174957,66.73352393372144,21.78865091802582,23.81215167528917,21.10451081658664,1.0,29.85838688354895,Gem Sub County,0.6828002244278053,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c,22.47682290389657,Siaya,1257.2314975133545,66.92414739979633,23.863879167434156,23.78548445922645,21.149481608499237,1.0,22.262643154911597,Ugunja Sub County,0.6554378716153992,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009c,24.07544477481784,Siaya,1197.3269640329625,67.52468951281202,26.743984549651426,25.614379582752957,22.347308373344443,1.0,22.810447825182884,Bondo Sub County,0.6513652656653215,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000be,22.69398147162524,Siaya,1235.727823955939,68.30034272716252,23.04704277304768,23.914736111411067,21.353366446692576,1.0,20.46924221890773,Ugenya Sub County,0.6818317791364547,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e6,22.92187534132801,Siaya,1231.7746084142395,70.09369487655336,29.03974110032362,24.254601521563114,21.549573696675463,1.0,23.013641358667204,Alego Usonga Sub County,0.6621662420711979,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000044,23.115412184438,Siaya,1201.0864409909516,74.43217168674789,30.013801012722208,25.189144053897962,21.26453125435957,2.0,261.2372536840007,Rarieda Sub County,0.6048829781030409,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000070,21.406967992149838,Siaya,1354.955211174957,78.28311027071891,21.78865091802582,23.060398755195383,20.11202874268502,2.0,354.6466712919787,Gem Sub County,0.6633349546307581,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007c,21.36926972876787,Siaya,1257.2314975133545,79.46512627548984,23.863879167434156,22.93494944700976,20.17709709299111,2.0,408.50076568102105,Ugunja Sub County,0.6184382897402837,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000009c,22.811281767067122,Siaya,1197.3269640329625,76.64560601047322,26.743984549651426,24.688004569928815,21.235463435449365,2.0,279.0241065890429,Bondo Sub County,0.6277490515496648,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000be,21.609884324717996,Siaya,1235.727823955939,79.92091171844154,23.04704277304768,23.16205399645608,20.445699070452637,2.0,437.61190880714673,Ugenya Sub County,0.6351400577297194,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000000e6,21.885389502233817,Siaya,1231.7746084142395,79.97865054958369,29.03974110032362,23.47964091195396,20.651091979058585,2.0,335.9558227899229,Alego Usonga Sub County,0.6351922491909389,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000044,22.797300594456377,Siaya,1201.0864409909516,77.43094805586813,30.013801012722208,24.965472546115002,21.428788186466107,3.0,233.8859993009704,Rarieda Sub County,0.6865130963835515,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000070,21.31631917978573,Siaya,1354.955211174957,80.28986295342453,21.78865091802582,23.305848858860823,20.09478651407875,3.0,313.6071767162448,Gem Sub County,0.7171407259078687,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007c,21.32867309904663,Siaya,1257.2314975133545,81.41927173760506,23.863879167434156,23.37862107237159,20.162623386613802,3.0,322.5335781059337,Ugunja Sub County,0.7041521735126177,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
